Record,Date,UTC_Time,puissance_mouteur1,puissance_mouteur2,val_TT-401,val_TT-402,val_FT-501,val_TSH-401,val_LIT-101,val_LIT-102,val_TT-101,val_TT-201,val_PT-101,systeme_mode_automatique,systeme_mode_manuel,systeme_mode_test,systeme_mode_arret,Torchere_active_niveau_Haut_gaz,systeme_arret_urgnce,phase_compostage_digesteur_3,phase_anoxie_digesteur_3,phase_methanisation_digesteur_3,phase_methanisation_sans_percolation_digesteur_3,phase_inertage_digesteur_3,phase_inertage_digesteur_3,degonflage_joints_digesteurs_3,vidange_digesteur_3,percolation_digesteur_3,attente_apres_percolation_digesteur_3,etape_initiale_grafcet_digesteur_4,phase_compostage_digesteur_4,phase_anoxie_digesteur_4,phase_methanisation_digesteur_4,phase_methanisation_sans_percolation_digesteur_4,phase_inertage_digesteur_4,phase_inertage_digesteur_4,vidange_digesteur_4,percolation_digesteur_4,phase_compostage_digesteur_1,phase_anoxie_digesteur_1,phase_methanisation_digesteur_1,phase_methanisation_sans_percolation_digesteur_1,phase_inertage_digesteur_1,phase_inertage_digesteur_1,vidange_digesteur_1,percolation_digesteur_1,phase_compostage_digesteur_2,phase_anoxie_digesteur_2,phase_methanisation_digesteur_2,phase_methanisation_sans_percolation_digesteur_2,phase_inertage_digesteur_2,phase_inertage_digesteur_2,percolation_digesteur_2,fonctionnement_moteur1,fonctionnement_moteur2,defaut_moteur1,defaut_moteur2,CH4_cent,Biogaz_produit_m3
245364,1/25/2023,18:30:36,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245365,1/25/2023,18:30:38,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245366,1/25/2023,18:30:40,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245367,1/25/2023,18:30:42,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245368,1/25/2023,18:30:44,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245369,1/25/2023,18:30:46,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245370,1/25/2023,18:30:48,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245371,1/25/2023,18:30:50,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245372,1/25/2023,18:30:52,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245373,1/25/2023,18:30:54,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245374,1/25/2023,18:30:56,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245375,1/25/2023,18:30:58,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245376,1/25/2023,18:31:00,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245377,1/25/2023,18:31:02,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245378,1/25/2023,18:31:04,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245379,1/25/2023,18:31:06,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245380,1/25/2023,18:31:08,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245381,1/25/2023,18:31:10,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245382,1/25/2023,18:31:12,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245383,1/25/2023,18:31:14,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245384,1/25/2023,18:31:16,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245385,1/25/2023,18:31:18,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245386,1/25/2023,18:31:20,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245387,1/25/2023,18:31:22,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245388,1/25/2023,18:31:24,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245389,1/25/2023,18:31:26,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245390,1/25/2023,18:31:28,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245391,1/25/2023,18:31:30,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245392,1/25/2023,18:31:32,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245393,1/25/2023,18:31:34,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245394,1/25/2023,18:31:36,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245395,1/25/2023,18:31:38,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245396,1/25/2023,18:31:40,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245397,1/25/2023,18:31:42,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245398,1/25/2023,18:31:44,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245399,1/25/2023,18:31:46,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
245400,1/25/2023,18:31:48,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,11
